Teacher,Class,Registered,Attended,Class Time
Harry James,Math - Algebra 2,149,10,09:30:00
Bill Sluss,Technology - Programming  1,91,28,12:00:00
John Jacob,Technology - Programming  3,38,10,08:30:00
Jim Jeffs,Math - Algebra 1,54,35,08:00:00
Jessica Taylor,English - Language 1,113,113,16:00:00
Jake Anderson,History - World History AP,25,22,12:30:00
Beverly Thomas,Science - Biology 2,55,5,10:00:00
Rick White,Gym 2,18,5,15:00:00
James Harris,Health 3A,128,77,12:30:00
George Martin,Technology - Programming  2,65,21,13:00:00
Amy Roebuck,Math - Algebra 2,122,21,09:30:00
Harry James,English - Language 2,103,30,13:30:00
Bill Sluss,History - US History AP,68,10,15:00:00
John Jacob,Science - Geology 2,131,47,09:30:00
Jim Jeffs,Gym 1,124,124,11:30:00
Jessica Taylor,Health 3B,91,91,14:00:00
Jake Anderson,Technology - Networking 1,93,90,09:00:00
Beverly Thomas,Technology - Networking 2,8,2,10:30:00
Rick White,Technology - Networking 3,41,14,14:00:00
James Harris,Science - Biology 3,127,115,16:00:00
George Martin,Science - Biology 4,80,26,16:00:00
Amy Roebuck,Science - Biology 1,128,31,08:00:00
Harry James,Health 3A,51,17,15:30:00
Bill Sluss,Health 2,147,15,08:30:00
John Jacob,Health 1,23,13,10:00:00
Jim Jeffs,Science - Geology 1,150,93,09:00:00
Jessica Taylor,History - World History AP,115,95,13:00:00
Jake Anderson,English - Language 2,69,53,13:00:00
Beverly Thomas,Math - Algebra 2,148,24,11:30:00
Rick White,Technology - Programming  1,14,3,08:30:00
James Harris,Technology - Programming  3,20,12,11:30:00
George Martin,Math - Algebra 1,67,55,13:30:00
Amy Roebuck,English - Language 1,133,64,16:00:00
Harry James,History - World History AP,23,3,10:30:00
Bill Sluss,Science - Biology 2,12,2,10:30:00
John Jacob,Gym 2,99,99,14:30:00
Jim Jeffs,Health 3A,140,53,10:00:00
Jessica Taylor,Technology - Programming  2,89,55,10:30:00
Jake Anderson,Math - Algebra 2,114,37,09:30:00
Beverly Thomas,English - Language 2,24,3,11:30:00
Rick White,History - US History AP,7,2,09:30:00
James Harris,Science - Geology 2,129,46,12:30:00
George Martin,Gym 1,63,43,12:30:00
Amy Roebuck,Health 3B,59,14,11:00:00
Harry James,Technology - Networking 1,86,16,08:00:00
Bill Sluss,Technology - Networking 2,10,4,15:00:00
John Jacob,Technology - Networking 3,18,18,15:30:00
Jim Jeffs,Science - Biology 3,11,11,14:00:00
Jessica Taylor,Science - Biology 4,13,11,13:30:00
Jake Anderson,Science - Biology 1,19,19,10:00:00
Beverly Thomas,Health 3A,38,5,08:30:00
Rick White,Health 2,90,13,09:00:00
James Harris,Health 1,125,125,14:30:00
George Martin,Science - Geology 1,117,108,14:30:00
Amy Roebuck,History - World History AP,5,1,08:00:00
Harry James,English - Language 2,93,18,11:00:00
Bill Sluss,Math - Algebra 2,78,9,10:30:00
John Jacob,Technology - Programming  1,109,109,14:00:00
Jim Jeffs,Technology - Programming  3,148,58,12:30:00
Jessica Taylor,Math - Algebra 1,78,78,16:00:00
Jake Anderson,English - Language 1,126,126,09:30:00
Beverly Thomas,History - World History AP,41,17,15:00:00
Rick White,Science - Biology 2,16,3,14:30:00
James Harris,Gym 2,82,35,09:00:00
George Martin,Health 3A,49,5,09:00:00
Amy Roebuck,Technology - Programming  2,80,7,09:00:00
Harry James,Math - Algebra 2,134,14,10:00:00
Bill Sluss,English - Language 2,60,12,15:30:00
John Jacob,History - US History AP,87,39,10:30:00
Jim Jeffs,Science - Geology 2,117,115,16:00:00
Jessica Taylor,Gym 1,150,150,14:30:00
Jake Anderson,Health 3B,124,34,08:30:00
Beverly Thomas,Technology - Networking 1,133,26,09:30:00
Rick White,Technology - Networking 2,46,8,14:30:00
James Harris,Technology - Networking 3,75,63,14:30:00
George Martin,Science - Biology 3,91,20,12:00:00
Amy Roebuck,Science - Biology 4,142,58,16:00:00
Harry James,Science - Biology 1,118,52,11:30:00
Bill Sluss,Health 3A,147,40,12:00:00
John Jacob,Health 2,18,5,10:00:00
Jim Jeffs,Health 1,34,34,11:00:00
Jessica Taylor,Science - Geology 1,42,42,14:30:00
Jake Anderson,History - World History AP,121,117,14:30:00
Beverly Thomas,English - Language 2,71,18,11:30:00
Rick White,Math - Algebra 2,124,15,11:00:00
James Harris,Technology - Programming  1,68,68,13:30:00
George Martin,Technology - Programming  3,105,8,08:00:00
Amy Roebuck,Math - Algebra 1,95,95,15:00:00
Harry James,English - Language 1,27,13,10:30:00
Bill Sluss,History - World History AP,106,24,11:30:00
John Jacob,Science - Biology 2,5,5,14:00:00
Jim Jeffs,Gym 2,100,32,08:00:00
Jessica Taylor,Health 3A,94,37,13:00:00
Jake Anderson,Technology - Programming  2,95,36,10:00:00
Beverly Thomas,Math - Algebra 2,122,23,13:30:00
Rick White,English - Language 2,13,1,09:00:00
James Harris,History - US History AP,114,104,14:00:00
George Martin,Science - Geology 2,79,16,10:30:00
Amy Roebuck,Gym 1,43,43,16:00:00
Harry James,Health 3B,21,3,10:00:00
Bill Sluss,Technology - Networking 1,119,61,11:00:00
John Jacob,Technology - Networking 2,22,11,12:30:00
Jim Jeffs,Technology - Networking 3,39,16,10:00:00
Jessica Taylor,Science - Biology 3,108,30,09:30:00
Jake Anderson,Science - Biology 4,103,72,13:00:00
Beverly Thomas,Science - Biology 1,17,10,11:30:00
Rick White,Health 3A,36,6,13:30:00
James Harris,Health 2,135,38,09:30:00
George Martin,Health 1,75,54,13:30:00
Amy Roebuck,Science - Geology 1,54,20,10:30:00
Harry James,History - World History AP,25,3,12:00:00
Bill Sluss,English - Language 2,49,18,14:30:00
John Jacob,Math - Algebra 2,103,44,14:00:00
Jim Jeffs,Technology - Programming  1,80,80,12:00:00
Jessica Taylor,Technology - Programming  3,149,71,09:30:00
Jake Anderson,Math - Algebra 1,61,61,16:00:00
Beverly Thomas,English - Language 1,32,14,13:00:00
Rick White,History - World History AP,71,9,09:00:00
James Harris,Science - Biology 2,5,3,09:30:00
George Martin,Gym 2,98,8,11:00:00
Amy Roebuck,Health 3A,120,29,14:00:00
Harry James,Technology - Programming  2,13,3,10:30:00
Bill Sluss,Math - Algebra 2,114,21,12:30:00
John Jacob,English - Language 2,142,49,10:30:00
Jim Jeffs,History - US History AP,123,53,13:30:00
Jessica Taylor,Science - Geology 2,137,72,13:00:00
Jake Anderson,Gym 1,110,68,08:30:00
Beverly Thomas,Health 3B,137,30,14:30:00
Rick White,Technology - Networking 1,83,54,12:30:00
James Harris,Technology - Networking 2,36,24,14:00:00
George Martin,Technology - Networking 3,106,5,08:00:00
Amy Roebuck,Science - Biology 3,137,42,16:00:00
Harry James,Science - Biology 4,56,9,15:30:00
Bill Sluss,Science - Biology 1,134,125,15:00:00
John Jacob,Health 3A,144,35,10:30:00
Jim Jeffs,Health 2,27,15,11:30:00
Jessica Taylor,Health 1,5,5,13:30:00
Jake Anderson,Science - Geology 1,51,45,09:30:00
Beverly Thomas,History - World History AP,42,5,09:00:00
Rick White,English - Language 2,61,11,12:00:00
James Harris,Math - Algebra 2,9,3,09:30:00
George Martin,Technology - Programming  1,6,3,08:30:00
Amy Roebuck,Technology - Programming  3,29,2,09:30:00
Harry James,Math - Algebra 1,67,40,13:00:00
Bill Sluss,English - Language 1,33,7,09:30:00
John Jacob,History - World History AP,105,82,12:00:00
Jim Jeffs,Science - Biology 2,13,10,14:30:00
Jessica Taylor,Gym 2,136,22,08:30:00
Jake Anderson,Health 3A,27,24,12:30:00
Beverly Thomas,Technology - Programming  2,83,22,15:00:00
Rick White,Math - Algebra 2,83,12,13:00:00
James Harris,English - Language 2,140,39,08:30:00
George Martin,History - US History AP,108,27,12:30:00
Amy Roebuck,Science - Geology 2,81,11,11:00:00
Harry James,Gym 1,110,33,11:00:00
Bill Sluss,Health 3B,95,8,10:30:00
John Jacob,Technology - Networking 1,83,59,08:30:00
Jim Jeffs,Technology - Networking 2,98,17,09:00:00
Jessica Taylor,Technology - Networking 3,22,9,11:30:00
Jake Anderson,Science - Biology 3,63,22,11:30:00
Beverly Thomas,Science - Biology 4,11,2,09:30:00
Rick White,Science - Biology 1,60,24,09:30:00
James Harris,Health 3A,105,64,10:30:00
George Martin,Health 2,32,3,08:30:00
Amy Roebuck,Health 1,47,25,11:00:00
Harry James,Science - Geology 1,147,39,09:00:00
Bill Sluss,History - World History AP,147,12,09:00:00
John Jacob,English - Language 2,82,41,11:00:00
Jim Jeffs,Math - Algebra 2,127,43,08:00:00
Jessica Taylor,Technology - Programming  1,107,107,09:00:00
Jake Anderson,Technology - Programming  3,8,4,11:00:00
Beverly Thomas,Math - Algebra 1,118,104,15:00:00
Rick White,English - Language 1,139,34,10:00:00
James Harris,History - World History AP,61,9,08:30:00
George Martin,Science - Biology 2,28,4,13:00:00
Amy Roebuck,Gym 2,94,15,11:30:00
Harry James,Health 3A,121,28,11:30:00
Bill Sluss,Technology - Programming  2,17,3,11:00:00
John Jacob,Math - Algebra 2,137,115,13:30:00
Jim Jeffs,English - Language 2,24,14,14:00:00
Jessica Taylor,History - US History AP,149,67,09:00:00
Jake Anderson,Science - Geology 2,126,62,14:00:00
Beverly Thomas,Gym 1,15,15,14:30:00
Rick White,Health 3B,30,7,12:30:00
James Harris,Technology - Networking 1,17,16,11:30:00
George Martin,Technology - Networking 2,113,21,13:00:00
Amy Roebuck,Technology - Networking 3,27,5,11:00:00
Harry James,Science - Biology 3,97,11,10:00:00
Bill Sluss,Science - Biology 4,84,11,08:30:00
John Jacob,Science - Biology 1,143,143,14:30:00
Jim Jeffs,Health 3A,78,48,14:00:00
Jessica Taylor,Health 2,65,21,09:30:00
Jake Anderson,Health 1,75,60,10:00:00
Beverly Thomas,Science - Geology 1,8,8,15:30:00
Rick White,History - World History AP,27,7,15:00:00
James Harris,English - Language 2,127,110,15:30:00
George Martin,Math - Algebra 2,54,4,10:30:00
Amy Roebuck,Technology - Programming  1,141,59,10:00:00
Harry James,Technology - Programming  3,139,33,14:00:00
Bill Sluss,Math - Algebra 1,97,75,12:00:00
John Jacob,English - Language 1,46,44,08:00:00
Jim Jeffs,History - World History AP,100,50,10:00:00
Jessica Taylor,Science - Biology 2,17,4,09:30:00
Jake Anderson,Gym 2,17,10,13:00:00
Beverly Thomas,Health 3A,115,23,10:30:00
Rick White,Technology - Programming  2,45,11,12:00:00
James Harris,Math - Algebra 2,64,33,12:00:00
George Martin,English - Language 2,52,13,12:00:00
Amy Roebuck,History - US History AP,54,7,10:30:00
Harry James,Science - Geology 2,45,8,13:30:00
Bill Sluss,Gym 1,6,3,10:00:00
John Jacob,Health 3B,87,35,12:00:00
Jim Jeffs,Technology - Networking 1,147,113,11:00:00
Jessica Taylor,Technology - Networking 2,130,128,14:30:00
Jake Anderson,Technology - Networking 3,106,106,16:00:00
Beverly Thomas,Science - Biology 3,94,5,08:30:00
Rick White,Science - Biology 4,83,9,09:30:00
James Harris,Science - Biology 1,39,39,12:00:00
George Martin,Health 3A,6,1,11:00:00
Amy Roebuck,Health 2,38,13,14:00:00
Harry James,Health 1,55,14,09:00:00
Bill Sluss,Science - Geology 1,50,27,15:00:00
John Jacob,History - World History AP,95,64,15:30:00
Jim Jeffs,English - Language 2,49,31,12:00:00
Jessica Taylor,Math - Algebra 2,31,12,13:00:00
Jake Anderson,Technology - Programming  1,118,118,12:30:00
Beverly Thomas,Technology - Programming  3,90,11,11:00:00
Rick White,Math - Algebra 1,14,6,08:30:00
James Harris,English - Language 1,142,142,11:30:00
George Martin,History - World History AP,25,8,13:00:00
Amy Roebuck,Science - Biology 2,113,34,13:00:00
Harry James,Gym 2,133,14,08:00:00
Bill Sluss,Health 3A,16,2,08:30:00
John Jacob,Technology - Programming  2,139,59,09:00:00
Jim Jeffs,Math - Algebra 2,118,60,10:00:00
Jessica Taylor,English - Language 2,21,21,15:00:00
Jake Anderson,History - US History AP,38,8,09:00:00
Beverly Thomas,Science - Geology 2,37,3,09:00:00
Rick White,Gym 1,107,25,10:00:00
James Harris,Health 3B,66,11,09:00:00
George Martin,Technology - Networking 1,86,30,10:30:00
Amy Roebuck,Technology - Networking 2,13,5,14:30:00
Harry James,Technology - Networking 3,76,11,14:30:00
Bill Sluss,Science - Biology 3,101,18,13:30:00
John Jacob,Science - Biology 4,96,31,11:30:00
Jim Jeffs,Science - Biology 1,16,16,16:00:00
Jessica Taylor,Health 3A,7,6,15:00:00
Jake Anderson,Health 2,68,22,12:00:00
Beverly Thomas,Health 1,118,24,10:00:00
Rick White,Science - Geology 1,111,39,08:00:00
James Harris,History - World History AP,93,40,10:30:00
George Martin,English - Language 2,138,18,08:30:00
Amy Roebuck,Math - Algebra 2,137,52,15:30:00
Harry James,Technology - Programming  1,82,36,09:00:00
Bill Sluss,Technology - Programming  3,43,7,09:30:00
John Jacob,Math - Algebra 1,26,26,11:00:00
Jim Jeffs,English - Language 1,85,54,08:30:00
Jessica Taylor,History - World History AP,54,51,16:00:00
Jake Anderson,Science - Biology 2,66,38,13:30:00
Beverly Thomas,Gym 2,138,53,15:30:00
Rick White,Health 3A,122,23,12:30:00
James Harris,Technology - Programming  2,145,27,08:30:00
George Martin,Math - Algebra 2,115,9,09:00:00
Amy Roebuck,English - Language 2,124,10,08:30:00
Harry James,History - US History AP,35,9,13:00:00
Bill Sluss,Science - Geology 2,40,6,13:30:00
John Jacob,Gym 1,133,133,12:30:00
Jim Jeffs,Health 3B,115,44,12:00:00
Jessica Taylor,Technology - Networking 1,137,115,09:00:00
Jake Anderson,Technology - Networking 2,122,78,12:30:00
Beverly Thomas,Technology - Networking 3,93,13,12:00:00
Rick White,Science - Biology 3,134,15,11:30:00
James Harris,Science - Biology 4,15,5,10:30:00
George Martin,Science - Biology 1,36,17,14:00:00
Amy Roebuck,Health 3A,116,17,09:00:00
Harry James,Health 2,92,6,09:00:00
Bill Sluss,Health 1,76,27,09:00:00
John Jacob,Science - Geology 1,46,46,13:00:00
Jim Jeffs,History - World History AP,91,85,15:00:00
Jessica Taylor,English - Language 2,15,12,12:30:00
Jake Anderson,Math - Algebra 2,147,75,10:30:00
Beverly Thomas,Technology - Programming  1,34,29,14:00:00
Rick White,Technology - Programming  3,77,25,13:30:00
James Harris,Math - Algebra 1,12,10,11:00:00
George Martin,English - Language 1,113,54,10:30:00
Amy Roebuck,History - World History AP,67,8,11:30:00
Harry James,Science - Biology 2,135,11,08:30:00
Bill Sluss,Gym 2,88,16,14:00:00
John Jacob,Health 3A,40,40,13:30:00
Jim Jeffs,Technology - Programming  2,88,17,09:00:00
Jessica Taylor,Math - Algebra 2,103,23,09:00:00
Jake Anderson,English - Language 2,15,6,12:00:00
Beverly Thomas,History - US History AP,113,34,13:00:00
Rick White,Science - Geology 2,59,5,10:30:00
James Harris,Gym 1,68,68,11:00:00
George Martin,Health 3B,140,33,14:30:00
Amy Roebuck,Technology - Networking 1,19,7,08:00:00
Harry James,Technology - Networking 2,40,7,09:30:00
Bill Sluss,Technology - Networking 3,143,19,09:00:00
John Jacob,Science - Biology 3,14,10,14:00:00
Jim Jeffs,Science - Biology 4,19,14,12:30:00
Jessica Taylor,Science - Biology 1,76,76,15:30:00
Jake Anderson,Health 3A,132,39,10:30:00
Beverly Thomas,Health 2,116,34,12:30:00
Rick White,Health 1,131,21,08:30:00
